region,asset_class,state,flow_score,pressure_score,confidence,freshness,as_of,provenance
global,liquidity,flow-only,52,,high,current,2026-06-30,fixture
global,equities,flow-only,-31,,medium,current,2026-03-31,fixture
global,rates,unavailable,,,,,,fixture
global,credit,flow-only,32,,high,current,2026-03-31,fixture
global,real-assets,pressure-only,,55,high,current,2026-07-31,fixture
global,crypto,pressure-only,,-44,medium,current,2026-08-18,fixture
us,liquidity,flow-only,61.5,,medium,current,2026-08-19,fixture
us,equities,diverging,37,-52,medium,current,2026-06-30,fixture
us,rates,confirming-in,44,48,medium,current,2026-06-30,fixture
us,credit,flow-only,-28.5,,high,current,2026-06-30,fixture
us,real-assets,insufficient,,,,,,fixture
us,crypto,unavailable,,,,,,fixture
europe,liquidity,flow-only,-47,,low,stale,2026-08-04,fixture
europe,equities,flow-only,18,,medium,current,2026-03-31,fixture
europe,rates,pressure-only,,51,medium,current,2026-08-24,fixture
europe,credit,insufficient,,,,,,fixture
europe,real-assets,unavailable,,,,,,fixture
europe,crypto,unavailable,,,,,,fixture
asia,liquidity,flow-only,31,,high,current,2026-06-30,fixture
asia,equities,flow-only,12,,medium,current,2026-03-31,fixture
asia,rates,unavailable,,,,,,fixture
asia,credit,flow-only,-19,,medium,current,2026-03-31,fixture
asia,real-assets,unavailable,,,,,,fixture
asia,crypto,unavailable,,,,,,fixture
emerging,liquidity,flow-only,-32,,high,current,2026-03-31,fixture
emerging,equities,confirming-out,-55,-68,medium,current,2026-03-31,fixture
emerging,rates,unavailable,,,,,,fixture
emerging,credit,flow-only,-41,,medium,current,2026-03-31,fixture
emerging,real-assets,unavailable,,,,,,fixture
emerging,crypto,unavailable,,,,,,fixture
