region,asset_class,state,flow_score,pressure_score,confidence,freshness,as_of,provenance
global,liquidity,insufficient,,,,,,official
global,equities,insufficient,,,,,,official
global,rates,unavailable,,,,,,official
global,credit,insufficient,,,,,,official
global,real-assets,insufficient,,,,,,official
global,crypto,insufficient,,,,,,official
us,liquidity,flow-only,47.7,,medium,current,2026-08-26,official
us,equities,insufficient,,,,,,official
us,rates,pressure-only,,-42.9,medium,current,2026-08-27,official
us,credit,insufficient,,,,,,official
us,real-assets,insufficient,,,,,,official
us,crypto,unavailable,,,,,,official
europe,liquidity,insufficient,,,,,,official
europe,equities,insufficient,,,,,,official
europe,rates,insufficient,,,,,,official
europe,credit,insufficient,,,,,,official
europe,real-assets,unavailable,,,,,,official
europe,crypto,unavailable,,,,,,official
asia,liquidity,insufficient,,,,,,official
asia,equities,insufficient,,,,,,official
asia,rates,unavailable,,,,,,official
asia,credit,insufficient,,,,,,official
asia,real-assets,unavailable,,,,,,official
asia,crypto,unavailable,,,,,,official
emerging,liquidity,insufficient,,,,,,official
emerging,equities,insufficient,,,,,,official
emerging,rates,unavailable,,,,,,official
emerging,credit,insufficient,,,,,,official
emerging,real-assets,unavailable,,,,,,official
emerging,crypto,unavailable,,,,,,official
